7.1201 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x137f57b00>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13974c278>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1201 	EXP 	window1: recordFrameIntervals = False
7.2858 	EXP 	window1: recordFrameIntervals = True
7.4694 	EXP 	window1: recordFrameIntervals = False
7.6181 	EXP 	Created instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
7.6278 	EXP 	window1: mouseVisible = False
7.6473 	EXP 	Created text1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='text1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='deg', win=Window(...), wrapWidth=15.0)
7.6882 	EXP 	Sound stimSound set volume 1.000
7.7025 	EXP 	instruction: autoDraw = True
8.4766 	EXP 	Imported audio.csv as conditions, 32 conditions, 1 params
8.4770 	EXP 	Created sequence: random, trialTypes=32, nReps=1, seed=None
8.4773 	EXP 	New trial (rep=0, index=0): OrderedDict([('stimFile', 'audio/Piano.wav')])
8.5055 	DATA 	Keypress: space
8.5195 	EXP 	instruction: autoDraw = False
8.5195 	EXP 	text1: text = 'audio/Piano.wav'
9.2034 	EXP 	Sound stimSound started
9.2032 	EXP 	text1: autoDraw = True
10.9873 	EXP 	Sound stimSound reached end of file
11.6716 	EXP 	New trial (rep=0, index=1): OrderedDict([('stimFile', 'audio/Blanket.wav')])
11.6832 	DATA 	Keypress: space
11.7038 	EXP 	text1: autoDraw = False
11.7038 	EXP 	text1: text = 'audio/Blanket.wav'
12.2530 	EXP 	Sound stimSound started
12.2536 	EXP 	text1: autoDraw = True
14.0445 	EXP 	Sound stimSound reached end of file
14.4714 	EXP 	New trial (rep=0, index=2): OrderedDict([('stimFile', 'audio/Thermometer.wav')])
14.4821 	DATA 	Keypress: space
14.5035 	EXP 	text1: autoDraw = False
14.5035 	EXP 	text1: text = 'audio/Thermometer.wav'
15.2206 	EXP 	Sound stimSound started
15.2203 	EXP 	text1: autoDraw = True
16.5424 	EXP 	Sound stimSound reached end of file
17.0720 	EXP 	New trial (rep=0, index=3): OrderedDict([('stimFile', 'audio/Duck.wav')])
17.0818 	DATA 	Keypress: space
17.1037 	EXP 	text1: autoDraw = False
17.1037 	EXP 	text1: text = 'audio/Duck.wav'
17.6929 	EXP 	Sound stimSound started
17.6938 	EXP 	text1: autoDraw = True
18.9773 	EXP 	Sound stimSound reached end of file
20.5938 	EXP 	New trial (rep=0, index=4): OrderedDict([('stimFile', 'audio/Lightning.wav')])
20.6036 	DATA 	Keypress: space
20.6223 	EXP 	text1: autoDraw = False
20.6223 	EXP 	text1: text = 'audio/Lightning.wav'
21.4606 	EXP 	Sound stimSound started
21.4613 	EXP 	text1: autoDraw = True
22.8722 	EXP 	Sound stimSound reached end of file
23.3736 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimFile', 'audio/Grape.wav')])
23.3849 	DATA 	Keypress: space
23.4058 	EXP 	text1: autoDraw = False
23.4058 	EXP 	text1: text = 'audio/Grape.wav'
24.3726 	EXP 	Sound stimSound started
24.3727 	EXP 	text1: autoDraw = True
25.4223 	EXP 	Sound stimSound reached end of file
26.3070 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimFile', 'audio/Astronaut.wav')])
26.3183 	DATA 	Keypress: space
26.3394 	EXP 	text1: autoDraw = False
26.3394 	EXP 	text1: text = 'audio/Astronaut.wav'
27.0734 	EXP 	Sound stimSound started
27.0733 	EXP 	text1: autoDraw = True
28.4404 	EXP 	Sound stimSound reached end of file
28.9408 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimFile', 'audio/Bee.wav')])
28.9483 	DATA 	Keypress: space
28.9565 	EXP 	text1: autoDraw = False
28.9565 	EXP 	text1: text = 'audio/Bee.wav'
29.8234 	EXP 	Sound stimSound started
29.8234 	EXP 	text1: autoDraw = True
30.8905 	EXP 	Sound stimSound reached end of file
31.2915 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimFile', 'audio/Pumpkin.wav')])
31.2997 	DATA 	Keypress: space
31.3073 	EXP 	text1: autoDraw = False
31.3073 	EXP 	text1: text = 'audio/Pumpkin.wav'
31.8406 	EXP 	Sound stimSound started
31.8400 	EXP 	text1: autoDraw = True
33.2570 	EXP 	Sound stimSound reached end of file
33.2752 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimFile', 'audio/Gym.wav')])
33.2834 	DATA 	Keypress: space
33.2909 	EXP 	text1: autoDraw = False
33.2909 	EXP 	text1: text = 'audio/Gym.wav'
34.1131 	EXP 	Sound stimSound started
34.1140 	EXP 	text1: autoDraw = True
35.3408 	EXP 	Sound stimSound reached end of file
37.0264 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimFile', 'audio/Brain.wav')])
37.0343 	DATA 	Keypress: space
37.0499 	EXP 	text1: autoDraw = False
37.0499 	EXP 	text1: text = 'audio/Brain.wav'
37.6909 	EXP 	Sound stimSound started
37.6909 	EXP 	text1: autoDraw = True
39.0089 	EXP 	Sound stimSound reached end of file
39.2969 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimFile', 'audio/Spider.wav')])
39.3057 	DATA 	Keypress: space
39.3299 	EXP 	text1: autoDraw = False
39.3299 	EXP 	text1: text = 'audio/Spider.wav'
40.0916 	EXP 	Sound stimSound started
40.0919 	EXP 	text1: autoDraw = True
41.1927 	EXP 	Sound stimSound reached end of file
41.3935 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimFile', 'audio/Apron.wav')])
41.4020 	DATA 	Keypress: space
41.4095 	EXP 	text1: autoDraw = False
41.4095 	EXP 	text1: text = 'audio/Apron.wav'
42.2634 	EXP 	Sound stimSound started
42.2640 	EXP 	text1: autoDraw = True
43.8257 	EXP 	Sound stimSound reached end of file
43.9601 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimFile', 'audio/Banana.wav')])
43.9683 	DATA 	Keypress: space
43.9762 	EXP 	text1: autoDraw = False
