doPracticeResp.keys,doPracticeResp.rt,practInstResp.keys,practInstResp.rt,audioFileIdx,visualFileIdx,responseOptions,correctResponse,PracticeResponse.keys,PracticeResponse.corr,PracticeResponse.rt,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practCorrect.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,practNoAns.ran,practIncorrect.thisRepN,practIncorrect.thisTrialN,practIncorrect.thisN,practIncorrect.thisIndex,practIncorrect.ran,key_resp.keys,key_resp.rt,StimResponseKey.keys,StimResponseKey.rt,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,stimTrials.ran,stimTrials.order
y,9.62717,9,2.27008,,,B TH G D,1,1,1,0.61801,0,0,0,0,1,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,T B D G,9,,0,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,B D TH G,9,,0,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,F TH T D,0,,0,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,D TH F T,1,1,1,0.71633,0,0,0,0,1,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,999,001,2020-09-18_15h27.09.679,AVSpeech,2020.1.2,MacIntel,60,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
