doPracticeResp.keys,doPracticeResp.rt,practInstResp.keys,practInstResp.rt,audioFileIdx,visualFileIdx,responseOptions,correctResponse,PracticeResponse.keys,PracticeResponse.corr,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,practNoAns.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,PracticeResponse.rt,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practCorrect.ran,key_resp.keys,key_resp.rt,StimResponseKey.keys,StimResponseKey.rt,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,stimTrials.ran
y,5.967,1,20.604,,,B D TH G,1,,0,0,0,0,0,1,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,D B T G,1,,0,0,0,0,0,1,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,1,0,1,0,1,,,,,,,,,,,,,,,
,,,,,,D TH B G,2,,0,0,0,0,0,1,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,T D F TH,2,2,1,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,1.211,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,3,0,3,0,1,,,,,,,,,,,,,,,
,,,,,,D F TH T,1,1,1,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,0.66,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,T TH D F,9,,0,0,0,0,0,1,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,5,0,5,0,1,,,,,,,,,,,,,,,
,,,,,,B G TH D,1,1,1,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,0.761,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,F TH T D,0,0,1,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,0.777,0,0,0,0,1,,,,,,,,,
,,,,18,-1,F G D TH,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,0,7.154,1,0.562,0,0,0,0,1
,,,,10,10,D G B TH,,,,,,,,,9999,001,2020-09-18_15h16.49.074,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,9,1.078,1,0,1,0,1
