doPracticeResp.keys,doPracticeResp.rt,practInstResp.keys,practInstResp.rt,audioFileIdx,visualFileIdx,responseOptions,correctResponse,PracticeResponse.keys,PracticeResponse.corr,PracticeResponse.rt,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practCorrect.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practIncorrect.thisRepN,practIncorrect.thisTrialN,practIncorrect.thisN,practIncorrect.thisIndex,practIncorrect.ran,key_resp.keys,key_resp.rt,StimResponseKey.keys,StimResponseKey.rt,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,stimTrials.ran
y,1.261455,space,0.80899,,,B D TH G,1,1,1,0.47928,0,0,0,0,1,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,B T G D,0,9,0,0.74906,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,1,0,1,0,1,,,,,,,,,,,,,,
,,,,,,TH D G B,1,1,1,0.601645,0,0,0,0,1,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,2,0,2,0,1,,,,,,,,,,,,,,
,,,,,,TH T D F,9,9,1,0.696415,0,0,0,0,1,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,3,0,3,0,1,,,,,,,,,,,,,,
,,,,,,D F T TH,1,2,0,0.84025,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,4,0,4,0,1,,,,,,,,,,,,,,
,,,,,,D F TH T,1,2,0,0.629185,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,5,0,5,0,1,,,,,,,,,,,,,,
,,,,,,B D TH G,1,1,1,0.497155,0,0,0,0,1,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,6,0,6,0,1,,,,,,,,,,,,,,
,,,,,,TH D T F,2,2,1,0.5768,0,0,0,0,1,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,
,,,,17,17,D F T TH,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,space,1.43193,2,0.504925,0,0,0,0,1
,,,,6,6,D F TH T,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,0.56085,1,0,1,0,1
,,,,21,21,B D TH G,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,2,0,2,0,1
,,,,38,38,T F TH D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,3,0,3,0,1
,,,,3,3,B D G TH,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,4,0,4,0,1
,,,,6,-1,T D F TH,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,5,0,5,0,1
,,,,29,29,D T TH F,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,6,0,6,0,1
,,,,8,8,D F T TH,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,7,0,7,0,1
,,,,38,-1,TH D T F,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,8,0,8,0,1
,,,,26,26,T TH F D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,9,0,9,0,1
,,,,34,34,G T B D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,10,0,10,0,1
,,,,8,8,TH F T D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,11,0,11,0,1
,,,,17,17,F TH D T,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,12,0,12,0,1
,,,,30,30,B G TH D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,13,0,13,0,1
,,,,14,14,G D TH B,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,14,0,14,0,1
,,,,31,31,TH G B D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,15,0,15,0,1
,,,,13,13,G TH B D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,16,0,16,0,1
,,,,28,-1,F TH D T,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,17,0,17,0,1
,,,,4,-1,G D B TH,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,18,0,18,0,1
,,,,11,11,B G TH D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,19,0,19,0,1
,,,,15,15,TH T D F,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,20,0,20,0,1
,,,,39,39,F TH T D,,,,,,,,,,EA_RunningMode,001,2020-09-15_11h55.21.178,AVSpeech,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,21,0,21,0,1
