doPracticeResp.keys,doPracticeResp.rt,practInstResp.keys,practInstResp.rt,audioFileIdx,visualFileIdx,responseOptions,correctResponse,PracticeResponse.keys,PracticeResponse.corr,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,practNoAns.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,PracticeResponse.rt,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practCorrect.ran,key_resp.keys,key_resp.rt,StimResponseKey.keys,StimResponseKey.rt,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,stimTrials.ran,stimTrials.order
y,2.458295,return,8.715145,,,D B TH G,2,,0,0,0,0,0,1,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,0,0,0,0,1,,,,,,,,,,,,,,,,
,,,,,,T B G D,0,,0,0,0,0,0,1,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,1,0,1,0,1,,,,,,,,,,,,,,,,
,,,,,,TH B D G,1,1,1,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,0.66216,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,2,0,2,0,1,,,,,,,,,,,,,,,,
,,,,,,TH T F D,0,0,1,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,0.864675,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,3,0,3,0,1,,,,,,,,,,,,,,,,
,,,,,,TH F D T,9,,0,0,0,0,0,1,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,4,0,4,0,1,,,,,,,,,,,,,,,,
,,,,,,TH F D T,9,,0,0,0,0,0,1,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,5,0,5,0,1,,,,,,,,,,,,,,,,
,,,,,,G TH D B,0,0,1,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,0.569865,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,6,0,6,0,1,,,,,,,,,,,,,,,,
,,,,,,TH D F T,2,2,1,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,0.68933,0,0,0,0,1,,,,,,,,,,
,,,,28,28,F T D TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,space,121.94043,9,0.638235,0,0,0,0,1,
,,,,19,19,D T TH F,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,0,0.557125,1,0,1,0,1,
,,,,7,7,T F TH D,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,2,1.162875,2,0,2,0,1,
,,,,22,22,B D G TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,3,0,3,0,1,
,,,,20,20,G D TH B,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,4,0,4,0,1,
,,,,0,-1,B G D TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,5,0,5,0,1,
,,,,31,31,B G D TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,6,0,6,0,1,
,,,,13,13,D G B TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,7,0,7,0,1,
,,,,39,39,T D F TH,,,,,,,,,9999,001,2020-09-16_10h22.35.137,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,8,0,8,0,1,
