practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practIncorrect.thisRepN,practIncorrect.thisTrialN,practIncorrect.thisN,practIncorrect.thisIndex,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,blackScreen.started,blackScreen.stopped,doPracticePrompt.started,doPracticePrompt.stopped,doPracticeResp.keys,doPracticeResp.rt,doPracticeResp.started,doPracticeResp.stopped,polygon.started,polygon.stopped,practInstr.started,practInstr.stopped,practInstResp.keys,practInstResp.rt,practInstResp.started,practInstResp.stopped,BlackBlank.started,BlackBlank.stopped,audioFileIdx,visualFileIdx,movie_stim_pract.started,movie_stim_pract.stopped,sound_stim_pract.started,sound_stim_pract.stopped,noise_pract.started,noise_pract.stopped,responseOptions,correctResponse,blackRectP.started,blackRectP.stopped,PracticeRespOptions.started,PracticeRespOptions.stopped,PracticeResponse.keys,PracticeResponse.corr,PracticeResponse.rt,PracticeResponse.started,PracticeResponse.stopped,blackRectCorr.started,blackRectCorr.stopped,practiceCorr.started,practiceCorr.stopped,blackRectIncorr.started,blackRectIncorr.stopped,text_incorrect.started,text_incorrect.stopped,blackScreen2.started,blackScreen2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,movie_stim.started,movie_stim.stopped,sound_stim.started,sound_stim.stopped,noise_stim.started,noise_stim.stopped,BlackRectStim.started,BlackRectStim.stopped,StimRespOpts.started,StimRespOpts.stopped,StimResponseKey.keys,StimResponseKey.rt,StimResponseKey.started,StimResponseKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,7.66282946796855,None,7.66282946796855,None,y,0.836666954040993,0.5126439935993403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0049135889858,None,9.0049135889858,None,space,1.5627258899621665,9.0049135889858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.588122901972383,None,10,-1,11.320845593989361,None,11.839822807494784,None,11.839822807494784,None,B D G TH,1,12.440054350008722,None,12.440054350008722,None,1,1,0.7676032350282185,12.440054350008722,None,13.238611195993144,None,13.238611195993144,14.238006406987552,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.737765458005015,None,34,34,15.322456789959688,None,15.855091255478328,None,15.855091255478328,None,G B D T,9,16.425282143987715,None,16.425282143987715,None,1,0,0.5743479029624723,16.425282143987715,None,,,,,17.025888550968375,None,17.025888550968375,18.038374249008484,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.539323545992374,None,13,33,19.12237388995709,None,19.63938189347391,None,19.63938189347391,None,D TH B G,2,20.225760485976934,None,20.225760485976934,None,0,0,0.6859109149663709,20.225760485976934,None,,,,,20.942051798978355,None,20.942051798978355,21.955910563003272,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.455936458951328,None,25,-1,23.039930983970407,None,23.572960936493473,None,23.572960936493473,None,D TH T F,1,24.144608293951023,None,24.144608293951023,None,1,1,0.6150680839782581,24.144608293951023,None,24.789521158963908,None,24.789521158963908,25.789986927993596,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.290490918967407,None,35,15,26.873807614960242,None,27.40663819949259,None,27.40663819949259,None,D F TH T,1,27.982248256972525,None,27.982248256972525,None,1,1,0.42539810499874875,27.982248256972525,None,28.440852510975674,None,28.440852510975674,29.440472372982185,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.940154003968928,None,5,5,30.524558243982028,None,31.057976154464995,None,31.057976154464995,None,T F TH D,0,31.63383609399898,None,31.63383609399898,None,2,0,0.8618373890058137,31.63383609399898,None,,,,,32.52831295598298,None,32.52831295598298,33.54111855797237,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.041356903966516,None,2,-1,34.625129944994114,None,35.141667767456966,None,35.141667767456966,None,D B TH G,2,35.728626505006105,None,35.728626505006105,None,2,1,0.8070389319909737,35.728626505006105,None,36.55815860896837,None,36.55815860896837,37.55826828698628,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.058345125988126,None,39,-1,38.64159048500005,None,39.15828262947616,None,39.15828262947616,None,D T TH F,1,39.74698554398492,None,39.74698554398492,None,1,1,0.46866089501418173,39.74698554398492,None,40.24223038100172,None,40.24223038100172,41.242677583999466,,,,,,,,,,,,,,,,,,,,,,,,,,,EA,001,2020_Dec_15_1730,AVSpeech,2020.1.2,59.904716875126944,
