doPracticeResp.keys,doPracticeResp.rt,practInstResp.keys,practInstResp.rt,audioFileIdx,visualFileIdx,responseOptions,correctResponse,PracticeResponse.keys,PracticeResponse.corr,practNoAns.thisRepN,practNoAns.thisTrialN,practNoAns.thisN,practNoAns.thisIndex,practNoAns.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,PracticeResponse.rt,practCorrect.thisRepN,practCorrect.thisTrialN,practCorrect.thisN,practCorrect.thisIndex,practCorrect.ran,key_resp.keys,key_resp.rt,StimResponseKey.keys,stimTrials.thisRepN,stimTrials.thisTrialN,stimTrials.thisN,stimTrials.thisIndex,stimTrials.ran,StimResponseKey.rt
y,255.023615,r,72.69384,,,G TH D B,0,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,G T B D,0,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,1,0,1,0,1,,,,,,,,,,,,,,,
,,,,,,TH D G B,1,1,1,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,0.64742,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,TH D T F,2,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,3,0,3,0,1,,,,,,,,,,,,,,,
,,,,,,F T D TH,9,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,T F TH D,0,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,5,0,5,0,1,,,,,,,,,,,,,,,
,,,,,,D G B TH,9,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,TH D F T,2,,0,0,0,0,0,1,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,28,-1,D F T TH,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,e,157.77255,,0,0,0,0,1,
,,,,28,8,D T F TH,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,29,29,TH T D F,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,1,2,0,2,0,1,1.08646
,,,,18,-1,F TH D G,,,,,,,,,,001,2020-10-28_14h34.34.329,AVSpeech,2020.1.2,Win32,60,,,,,,,,,,,,,,,3,0,3,0,1,
